Instituto Nacional para el Federalismo y el Desarrollo Municipal

Base de datos de Poblacion 2020

cve_inegi,id_estado,id_municipio,superficie,municipios,localidades,cabecera,longitud,latitud,altitud,pob_cabecera,pob_cabecera_h,pob_cabecera_m,total,hombres,mujeres,p3ymas,p3ymas_h,p3ymas_m,p5ymas,p5ymas_h,p5ymas_m,p0_2,p0_2_h,p0_2_m,p3_5,p3_5_h,p3_5_m,p6_14,p6_14_h,p6_14_m,p8_14,p8_14_h,p8_14_m,p15_17,p15_17_h,p15_17_m,p18_24,p18_24_h,p18_24_m,p25_29,p25_29_h,p25_29_m,p25_59,p25_59_h,p25_59_m,p60ymas,p60ymas_h,p60ymas_m,p12ymas,p12ymas_h,p12ymas_m,p15ymas,p15ymas_h,p15ymas_m,p18ymas,p18ymas_h,p18ymas_m,p30ymas,p30ymas_h,p30ymas_m,loc1_249,loc250_499,loc500_999,loc1K_2499,loc2K5_4999,loc5K_9999,loc10K_14999,loc15K_29999,loc30K_49999,loc50K_99999,loc100K_249999,loc250K_499999,loc500K_999999,locmayor1M,tipo_municipio,p3ymas_li,p3ymas_li_h,p3ymas_li_m,p3ymas_li_esp,p3ymas_li_esp_h,p3ymas_li_esp_m,p3ymas_li_noesp,p3ymas_li_noesp_h,p3ymas_li_noesp_m,p3ymas_li_esp_noespecif,p3ymas_li_esp_noespecif_h,p3ymas_li_esp_noespecif_m,p3ymas_no_li,p3ymas_no_li_h,p3ymas_no_li_m,p3ymas_li_noespecif,p3ymas_li_noespecif_h,p3ymas_li_noespecif_m,id_lengua1,id_lengua2,hab_lengua1,hab_lengua2,p_catolica,p_nocatolica,p_otrareligion,p_sinreligion
"01011","1","11","0.00","0","0","","","","0","0","0","0","61997","30705","31292","58162","28765","29397","55316","27341","27975","3709","1879","1830","4239","2155","2084","0","0","0","9329","4732","4597","3544","1792","1752","7793","3828","3965","5444","2637","2807","0","0","0","3588","1760","1828","45529","22411","23118","41714","20488","21226","38170","18696","19474","0","0","0","1094","1042","3606","10059","9692","5543","12162","18799","0","0","0","0","0","0","","120","77","43","107","71","36","13","6","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"02001","2","1","0.00","0","0","","","","0","0","0","0","443807","221307","222500","424476","211480","212996","410359","204387","205972","18918","9618","9300","21114","10602","10512","0","0","0","49839","25444","24395","20882","10558","10324","54266","27465","26801","36764","18280","18484","0","0","0","53463","25380","28083","361229","179396","181833","339720","168532","171188","318838","157974","160864","0","0","0","18910","6058","8686","13054","13517","13590","11371","27969","0","0","0","330652","0","0","","11528","5823","5705","11034","5652","5382","448","147","301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"02002","2","2","0.00","0","0","","","","0","0","0","0","1049792","529248","520544","1011641","510004","501637","981769","494937","486832","37394","18871","18523","45624","23027","22597","0","0","0","119056","60510","58546","51325","26298","25027","128334","65708","62626","86787","44285","42502","0","0","0","122934","57032","65902","866472","436317","430155","814668","410036","404632","763343","383738","379605","0","0","0","21918","11404","26455","30100","29742","39763","0","36224","0","0","0","0","854186","0","","4967","2869","2098","4710","2748","1962","49","17","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"02003","2","3","0.00","0","0","","","","0","0","0","0","108440","57130","51310","103543","54636","48907","99900","52785","47115","4659","2376","2283","5405","2732","2673","0","0","0","12327","6235","6092","5178","2695","2483","12875","6633","6242","8821","4669","4152","0","0","0","11535","5910","5625","87982","46764","41218","82545","44032","38513","77367","41337","36030","0","0","0","5575","2923","557","5821","7251","5254","0","0","0","81059","0","0","0","0","","656","368","288","651","367","284","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"02004","2","4","0.00","0","0","","","","0","0","0","0","1922523","968740","953783","1839517","926649","912868","1779843","896679","883164","76912","39055","37857","89708","45641","44067","0","0","0","221847","113410","108437","93150","47740","45410","244356","124275","120081","174408","88151","86257","0","0","0","169282","79083","90199","1562395","785463","776932","1467282","736875","730407","1374132","689135","684997","0","0","0","4932","4784","8691","10755","3600","25514","20242","0","33360","0","0","0","0","1810645","","12312","6610","5702","12085","6514","5571","140","47","93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"02005","2","5","0.00","0","0","","","","0","0","0","0","126890","64386","62504","121837","61876","59961","118069","59998","58071","4420","2192","2228","5696","2850","2846","0","0","0","15177","7821","7356","6534","3301","3233","15726","7988","7738","10387","5211","5176","0","0","0","14292","7336","6956","103540","52548","50992","96931","49145","47786","90397","45844","44553","0","0","0","6506","1895","707","7898","2986","6238","0","0","0","0","100660","0","0","0","","1166","647","519","1149","636","513","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"02006","2","6","0.00","0","0","","","","0","0","0","0","117568","59778","57790","109830","55901","53929","104560","53297","51263","7654","3835","3819","7739","3810","3929","0","0","0","15921","8072","7849","6521","3283","3238","16851","8804","8047","11077","5654","5423","0","0","0","7796","4010","3786","88002","44962","43040","81352","41548","39804","74831","38265","36566","0","0","0","7062","4116","5509","24464","22804","9636","25148","18829","0","0","0","0","0","0","","17180","8930","8250","16445","8683","7762","670","207","463","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32059","2","7","0.00","0","0","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","",""
"03001","3","1","0.00","0","0","","","","0","0","0","0","73021","36804","36217","69900","35284","34616","67639","34142","33497","3080","1500","1580","3444","1745","1699","0","0","0","8876","4523","4353","4090","2091","1999","7643","4033","3610","5101","2609","2492","0","0","0","9649","4728","4921","59034","29757","29277","55168","27794","27374","51078","25703","25375","0","0","0","3842","3121","2658","4720","0","14875","0","0","43805","0","0","0","0","0","","789","459","330","739","433","306","32","12","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"03002","3","2","0.00","0","0","","","","0","0","0","0","64022","33071","30951","60681","31377","29304","58230","30168","28062","3231","1641","1590","3634","1820","1814","0","0","0","7936","4024","3912","3282","1683","1599","6827","3640","3187","5250","2750","2500","0","0","0","6741","3447","3294","50215","26082","24133","46913","24429","22484","43631","22746","20885","0","0","0","3360","4755","5326","7897","3834","0","38850","0","0","0","0","0","0","0","","2975","1669","1306","2935","1656","1279","35","11","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
